Employee ID,Period_Start,Period_End,Phase_Lifting,Phase_Moving,Phase_Placing,Velocity_avg,Velocity_abs,Fatigue or not
2,149,158,0,1,0,-202.7757,202.7757,0
1,150,159,0,1,0,-130.8354,130.8354,0
2,150,159,0,1,0,-199.6482,199.6482,0
1,151,160,0,1,0,-142.4091,142.4091,0
2,151,160,0,1,0,-185.0223,185.0223,0
1,152,161,0,1,0,-144.7671,144.7671,0
2,152,161,0,1,0,-173.7312,173.7312,0
1,153,162,0,1,0,-150.6063,150.6063,0
2,153,162,0,1,0,-183.7515,183.7515,0
1,154,163,0,1,0,-156.8046,156.8046,0
2,154,163,0,1,0,-191.343,191.343,0
1,155,164,0,1,0,-159.1767,159.1767,0
2,155,164,0,1,0,-189.7032,189.7032,0
1,156,165,0,1,0,-154.8204,154.8204,0
2,156,165,0,1,0,-178.3977,178.3977,0
1,157,166,0,1,0,-1785.1854,1785.1854,0
2,157,166,0,1,0,1470.4458,1470.4458,0
1,158,167,0,1,0,-1800.0069,1800.0069,0
2,158,167,0,1,0,1462.8885,1462.8885,0
1,159,168,0,1,0,-1782.5685,1782.5685,0
2,159,168,0,1,0,1464.0129,1464.0129,0
1,160,169,0,1,0,-168.1104,168.1104,0
2,160,169,0,1,0,-192.9246,192.9246,0
1,161,170,0,1,0,-168.5715,168.5715,0
2,161,170,0,1,0,-193.7742,193.7742,0
1,162,171,0,1,0,-175.1982,175.1982,0
2,162,171,0,1,0,-213.3537,213.3537,0
1,163,172,0,1,0,-189.3249,189.3249,0
2,163,172,0,1,0,-217.9713,217.9713,0
1,164,173,0,1,0,-188.3814,188.3814,0
2,164,173,0,1,0,-217.3506,217.3506,0
1,165,174,0,1,0,-200.0652,200.0652,0
2,165,174,0,1,0,-216.5853,216.5853,0
1,166,175,0,1,0,1418.6319,1418.6319,0
2,166,175,0,1,0,-1845.7662,1845.7662,0
1,167,176,0,1,0,1425.9087,1425.9087,0
2,167,176,0,1,0,-1855.7145,1855.7145,0
1,168,177,0,1,0,1390.6299,1390.6299,0
2,168,177,0,1,0,-1866.7917,1866.7917,0
1,169,178,0,1,0,-229.9716,229.9716,0
2,169,178,0,1,0,-212.4588,212.4588,0
1,170,179,0,1,0,-230.3166,230.3166,0
2,170,179,0,1,0,-205.8066,205.8066,0
1,171,180,0,1,0,-232.0449,232.0449,0
2,171,180,0,1,0,-177.8376,177.8376,0
1,172,181,0,1,0,-219.9345,219.9345,0
2,172,181,0,1,0,-160.7646,160.7646,0
1,173,182,0,1,0,-234.9768,234.9768,0
2,173,182,0,1,0,-172.7019,172.7019,0
1,174,183,0,1,0,-237.8913,237.8913,0
2,174,183,0,1,0,-181.4373,181.4373,0
1,175,184,0,1,0,-236.4078,236.4078,0
2,175,184,0,1,0,-197.9238,197.9238,0
1,176,185,0,1,0,-226.9728,226.9728,0
2,176,185,0,1,0,-180.4953,180.4953,0
1,177,186,0,1,0,-208.1367,208.1367,0
2,177,186,0,1,0,-193.7049,193.7049,0
1,178,187,0,1,0,-196.4679,196.4679,0
2,178,187,0,1,0,-196.2897,196.2897,0
1,179,188,0,1,0,-195.3663,195.3663,0
2,179,188,0,1,0,-206.451,206.451,0
1,180,189,0,1,0,-195.804,195.804,0
2,180,189,0,1,0,-221.9283,221.9283,0
1,181,190,0,1,0,-190.971,190.971,0
2,181,190,0,1,0,-222.9789,222.9789,0
1,182,191,0,1,0,-174.6747,174.6747,0
2,182,191,0,1,0,-210.8967,210.8967,0
1,183,192,0,1,0,-162.9432,162.9432,0
2,183,192,0,1,0,-203.0871,203.0871,0
1,184,193,0,1,0,-154.1229,154.1229,0
2,184,193,0,1,0,-186.3141,186.3141,0
1,185,194,0,1,0,-157.4274,157.4274,0
2,185,194,0,1,0,-183.9702,183.9702,0
1,186,195,0,1,0,-170.4918,170.4918,0
2,186,195,0,1,0,-178.6428,178.6428,0
1,187,196,0,1,0,-185.193,185.193,0
2,187,196,0,1,0,-194.9439,194.9439,0
1,188,197,0,1,0,-186.2601,186.2601,0
2,188,197,0,1,0,-194.0385,194.0385,0
1,189,198,0,1,0,-188.3958,188.3958,0
2,189,198,0,1,0,-194.1807,194.1807,0
1,190,199,0,1,0,-199.1388,199.1388,0
